Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s),orcamento_base,custo_final,gasto_real,dt_inicio,dt_plan_fim,dt_real_fim,fator_custo,atraso_dias,duracao_plan,ano_inicio,alto_risco,distrito,borough,log_orcamento,esc_eletrica,esc_hvac,esc_estrutural,esc_seguranca,esc_acessibilidade
16,K021,P.S. 21 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,5/4/2020,10/2/2020,7/22/2020,435590,169147,147612,"DSF0000798392, DSF0000936743",435590.0,169147.0,147612.0,2020-05-04,2020-10-02,2020-07-22,0.38831699533965425,-72,151,2020,0,16,Brooklyn,5.639077900939867,0,1,0,0,0
16,K021,P.S. 21 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,1/31/2020,7/1/2020,4/30/2020,87118,50911,50911,"DSF0000798392, DSF0000936743",87118.0,50911.0,50911.0,2020-01-31,2020-07-01,2020-04-30,0.5843912853830436,-62,152,2020,0,16,Brooklyn,4.940107896603848,0,1,0,0,0
17,K022,P.S. 705 - BROOKLYN,SCA CIP,HVAC,Design,Complete,6/19/2018,12/19/2018,4/16/2019,161340,177588,116862,DSF0000868772,161340.0,177588.0,116862.0,2018-06-19,2018-12-19,2019-04-16,1.1007065823726292,118,183,2018,1,17,Brooklyn,5.207742052606945,0,1,0,0,0
17,K022,P.S. 705 - BROOKLYN,SCA CIP,PARAPETS / ROOFS,Design,Complete,12/24/2019,5/27/2020,6/30/2020,228471,172474,29157,"DSF0000891499, DSF0000936767",228471.0,172474.0,29157.0,2019-12-24,2020-05-27,2020-06-30,0.7549054365761957,34,155,2019,0,17,Brooklyn,5.358831082571039,0,0,1,0,0
17,K022,P.S. 705 - BROOKLYN,SCA CIP,PARAPETS / ROOFS,Scope,Complete,7/18/2019,12/4/2019,12/24/2019,45694,40511,40511,"DSF0000891499, DSF0000936767",45694.0,40511.0,40511.0,2019-07-18,2019-12-04,2019-12-24,0.8865715411213726,20,139,2019,0,17,Brooklyn,4.659859177357306,0,0,1,0,0
17,K022,P.S. 705 - BROOKLYN,SCA CIP,HVAC,Scope,Complete,3/29/2018,7/30/2018,6/4/2018,40335,29558,29558,DSF0000868772,40335.0,29558.0,29558.0,2018-03-29,2018-07-30,2018-06-04,0.7328126936903434,-56,123,2018,0,17,Brooklyn,4.605682061278983,0,1,0,0,0
15,K024,P.S. 24 - BROOKLYN,SCA CIP,PARAPETS / DOORS,Design,Complete,1/30/2019,7/1/2019,5/6/2020,111806,74385,63190,"DSF0000868795, DSF0000891548",111806.0,74385.0,63190.0,2019-01-30,2019-07-01,2020-05-06,0.6653041876106828,310,152,2019,1,15,Brooklyn,5.048465110321171,0,0,1,0,0
15,K024,P.S. 24 - BROOKLYN,SCA CIP,PARAPETS / DOORS,Scope,Complete,10/16/2018,3/6/2019,1/22/2019,24845,23982,23965,"DSF0000868795, DSF0000891548",24845.0,23982.0,23965.0,2018-10-16,2019-03-06,2019-01-22,0.9652646407727913,-43,141,2018,0,15,Brooklyn,4.395239001081552,0,0,1,0,0
15,K024,P.S. 24 - BROOKLYN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM,F&E",Complete,6/25/2019,4/19/2020,4/19/2020,30000,37351,36937,DSF0000867346,30000.0,37351.0,36937.0,2019-06-25,2020-04-19,2020-04-19,1.2450333333333334,0,299,2019,1,15,Brooklyn,4.477121254719663,0,0,0,0,0
15,K024,P.S. 24 - BROOKLYN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,Complete,6/25/2019,4/19/2020,4/19/2020,440000,376440,283076,DSF0000867346,440000.0,376440.0,283076.0,2019-06-25,2020-04-19,2020-04-19,0.8555454545454545,0,299,2019,0,15,Brooklyn,5.643452676486188,0,0,0,0,0
15,K024,P.S. 24 - BROOKLYN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,Complete,11/14/2018,4/3/2019,4/25/2019,30000,41091,38129,DSF0000867346,30000.0,41091.0,38129.0,2018-11-14,2019-04-03,2019-04-25,1.3697,22,140,2018,1,15,Brooklyn,4.477121254719663,0,0,0,0,0
16,K025,P.S. 25 - BROOKLYN,SCA CIP,PLAY YARD,Design,Complete,12/18/2018,5/6/2019,5/13/2020,102684,86455,86455,DSF0000889320,102684.0,86455.0,86455.0,2018-12-18,2019-05-06,2020-05-13,0.8419520081025281,373,139,2018,1,16,Brooklyn,5.011502778036918,0,0,0,0,0
16,K025,P.S. 25 - BROOKLYN,SCA CIP,PLAY YARD,Scope,Complete,7/5/2018,10/3/2018,12/18/2018,25671,58267,57740,DSF0000889320,25671.0,58267.0,57740.0,2018-07-05,2018-10-03,2018-12-18,2.2697596509680182,76,90,2018,1,16,Brooklyn,4.409442786708955,0,0,0,0,0
15,K027,RED HOOK NEIGHBORHOOD SCHOOL  - K,SCA CIP,AUDITORIUM UPGRADE / PATH OF TRAVEL AUDITORIUM UPGRADE,Design,Complete,9/27/2019,12/3/2019,3/20/2020,76174,41395,38255,"DSF0000868850, DSF0000912554",76174.0,41395.0,38255.0,2019-09-27,2019-12-03,2020-03-20,0.5434268910651928,108,67,2019,1,15,Brooklyn,4.8818067615841425,0,0,0,0,1
