Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s),orcamento_base,custo_final,gasto_real,dt_inicio,dt_plan_fim,dt_real_fim,fator_custo,atraso_dias,duracao_plan,ano_inicio,alto_risco,distrito,borough,log_orcamento,esc_eletrica,esc_hvac,esc_estrutural,esc_seguranca,esc_acessibilidade
8,X014,P.S. 14 - BRONX,SCA CIP,PARAPETS / WINDOWS / EXTERIOR MASONRY / ROOFS,Design,Complete,12/18/2018,5/21/2019,5/16/2019,622200,397935,328134,"DSF0000883578, DSF0000883579, DSF0000883580, DSF0000906449",622200.0,397935.0,328134.0,2018-12-18,2019-05-21,2019-05-16,0.6395612343297975,-5,154,2018,0,8,Bronx,5.793930006772684,0,0,1,0,0
8,X014,P.S. 14 - BRONX,SCA CIP,PARAPETS / WINDOWS / EXTERIOR MASONRY / ROOFS,Scope,Complete,7/6/2018,11/21/2018,12/18/2018,155550,114623,114623,"DSF0000883578, DSF0000883579, DSF0000883580, DSF0000906449",155550.0,114623.0,114623.0,2018-07-06,2018-11-21,2018-12-18,0.7368884603021536,27,138,2018,0,8,Bronx,5.191870015444723,0,0,1,0,0
11,X016,P.S. 16 - BRONX,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Design,Complete,4/22/2019,10/7/2019,5/17/2019,189930,240570,192019,DSF0000911806,189930.0,240570.0,192019.0,2019-04-22,2019-10-07,2019-05-17,1.2666245458853262,-143,168,2019,1,11,Bronx,5.278593568241133,0,0,0,0,0
11,X016,P.S. 16 - BRONX,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,Complete,2/13/2019,5/14/2019,4/22/2019,47482,85301,85301,DSF0000911806,47482.0,85301.0,85301.0,2019-02-13,2019-05-14,2019-04-22,1.7964913019670612,-22,90,2019,1,11,Bronx,4.676529003683365,0,0,0,0,0
7,X018,P.S. 18 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,5/1/2019,10/1/2019,5/16/2019,93087,57662,49010,"DSF0000891034, DSF0000912508",93087.0,57662.0,49010.0,2019-05-01,2019-10-01,2019-05-16,0.6194420273507579,-138,153,2019,0,7,Bronx,4.9688890341233565,1,0,0,0,0
7,X018,P.S. 18 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Scope,Complete,9/25/2018,8/29/2019,5/1/2019,25281,12221,12221,"DSF0000891034, DSF0000912508",25281.0,12221.0,12221.0,2018-09-25,2019-08-29,2019-05-01,0.4834065108184012,-120,338,2018,0,7,Bronx,4.402794248640903,1,0,0,0,0
11,X019,P.S. 19 - BRONX,SCA Capacity,ADDITION,OUTROS,Complete,7/10/2017,9/1/2020,8/4/2020,8038566,7224715,6448936,DSF0000821591,8038566.0,7224715.0,6448936.0,2017-07-10,2020-09-01,2020-08-04,0.8987566936689952,-28,1149,2017,0,11,Bronx,6.905178581853866,0,0,0,0,0
11,X019,P.S. 19 - BRONX,SCA Capacity,ADDITION,Construction,Complete,7/10/2017,9/1/2020,8/4/2020,57083994,54034297,51103235,DSF0000821591,57083994.0,54034297.0,51103235.0,2017-07-10,2020-09-01,2020-08-04,0.9465752694179037,-28,1149,2017,0,11,Bronx,7.756514351819586,0,0,0,0,0
11,X019,P.S. 19 - BRONX,SCA Capacity,ADDITION,Design,Complete,9/21/2016,3/27/2017,5/11/2017,4070160,4184988,3271077,DSF0000821591,4070160.0,4184988.0,3271077.0,2016-09-21,2017-03-27,2017-05-11,1.0282121587357744,45,187,2016,0,11,Bronx,6.609611481891387,0,0,0,0,0
11,X019,P.S. 19 - BRONX,SCA Capacity,ADDITION,Scope,Complete,5/23/2016,9/16/2016,9/20/2016,1271925,1042183,1031506,DSF0000821591,1271925.0,1042183.0,1031506.0,2016-05-23,2016-09-16,2016-09-20,0.8193745700414725,4,116,2016,0,11,Bronx,6.104461503571481,0,0,0,0,0
11,X021,P.S. 21 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM,F&E",Complete,6/28/2019,3/23/2020,9/10/2020,57368,39130,27925,DSF0000868244,57368.0,39130.0,27925.0,2019-06-28,2020-03-23,2020-09-10,0.6820875749546785,171,269,2019,1,11,Bronx,4.758669709493661,1,0,0,0,0
11,X021,P.S. 21 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,Complete,6/28/2019,3/23/2020,9/10/2020,370874,370874,210514,DSF0000868244,370874.0,370874.0,210514.0,2019-06-28,2020-03-23,2020-09-10,1.0,171,269,2019,1,11,Bronx,5.569226388323705,1,0,0,0,0
11,X021,P.S. 21 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,11/13/2018,4/17/2019,4/3/2019,23372,11058,10813,DSF0000868244,23372.0,11058.0,10813.0,2018-11-13,2019-04-17,2019-04-03,0.4731302413143933,-14,155,2018,0,11,Bronx,4.36869587763823,1,0,0,0,0
9,X022,I.S. 22 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM,F&E",Complete,5/20/2019,5/18/2020,9/28/2020,64875,87124,86874,DSF0000866373,64875.0,87124.0,86874.0,2019-05-20,2020-05-18,2020-09-28,1.34295183044316,133,364,2019,1,9,Bronx,4.812077370856514,0,0,0,0,0
9,X022,I.S. 22 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,Complete,5/20/2019,5/18/2020,9/28/2020,951500,886614,859763,DSF0000866373,951500.0,886614.0,859763.0,2019-05-20,2020-05-18,2020-09-28,0.9318066211245402,133,364,2019,1,9,Bronx,5.978408792623039,0,0,0,0,0
9,X022,I.S. 22 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,Complete,6/20/2018,11/21/2018,11/21/2018,64875,134013,133763,DSF0000866373,64875.0,134013.0,133763.0,2018-06-20,2018-11-21,2018-11-21,2.0657109826589597,0,154,2018,1,9,Bronx,4.812077370856514,0,0,0,0,0
10,X023,P.S. 23 - BRONX,SCA CIP,ROOFS,Design,Complete,4/5/2019,9/5/2019,12/31/2019,229300,79202,79202,DSF0000883723,229300.0,79202.0,79202.0,2019-04-05,2019-09-05,2019-12-31,0.34540776275621454,117,153,2019,1,10,Bronx,5.360404054729939,0,0,1,0,0
10,X023,P.S. 23 - BRONX,SCA CIP,ROOFS,Scope,Complete,10/12/2018,3/4/2019,4/4/2019,45860,24617,24617,DSF0000883723,45860.0,24617.0,24617.0,2018-10-12,2019-03-04,2019-04-04,0.5367858700392499,31,143,2018,0,10,Bronx,4.66143405039392,0,0,1,0,0
10,X024,P.S. 24 - BRONX,SCA CIP,CERTIFICATE OF OCCUPANCY / FIRE ALARM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,10/19/2016,3/24/2017,4/26/2017,447890,415262,400114,"DSF0000843694, DSF0000843978, DSF0000798382, DSF0000799754",447890.0,415262.0,400114.0,2016-10-19,2017-03-24,2017-04-26,0.9271517560115207,33,156,2016,0,10,Bronx,5.65117136609885,0,1,0,1,0
10,X024,P.S. 24 - BRONX,SCA CIP,CERTIFICATE OF OCCUPANCY / FIRE ALARM / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,1/6/2016,1/27/2017,10/7/2016,114357,115215,109346,"DSF0000843694, DSF0000843978, DSF0000798382, DSF0000799754",114357.0,115215.0,109346.0,2016-01-06,2017-01-27,2016-10-07,1.0075028201159526,-112,387,2016,0,10,Bronx,5.058262753711701,0,1,0,1,0
10,X024,P.S. 24 - BRONX,SCA CIP RESOA,FY19 RESO A IPDVS CAMERA INSTALLATION,Design,Complete,1/26/2019,6/11/2019,5/9/2019,26651,7921,7921,DSF0000890948,26651.0,7921.0,7921.0,2019-01-26,2019-06-11,2019-05-09,0.29721211211586807,-33,136,2019,0,10,Bronx,4.4257135092850675,0,0,0,0,0
7,X027,P.S. 277 - BRONX,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Design,Complete,2/27/2019,7/29/2019,5/17/2019,454495,235263,204269,"DSF0000883791, DSF0000883792, DSF0000883793",454495.0,235263.0,204269.0,2019-02-27,2019-07-29,2019-05-17,0.5176360576023938,-73,152,2019,0,7,Bronx,5.657529109814633,0,0,1,0,0
7,X027,P.S. 277 - BRONX,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Scope,Complete,11/6/2018,3/27/2019,2/26/2019,115360,79750,79750,"DSF0000883791, DSF0000883792, DSF0000883793",115360.0,79750.0,79750.0,2018-11-06,2019-03-27,2019-02-26,0.6913141470180305,-29,141,2018,0,7,Bronx,5.062055247375354,0,0,1,0,0
9,X028,P.S. 28 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,3/22/2019,8/21/2019,5/16/2019,31570,10474,10474,"DSF0000868245, DSF0000912421",31570.0,10474.0,10474.0,2019-03-22,2019-08-21,2019-05-16,0.3317706683560342,-97,152,2019,0,9,Bronx,4.499274581892218,1,0,0,0,0
9,X028,P.S. 28 - BRONX,SCA CIP,DETERIORATED METAL ARCH CEILING & BEAMS / FULL PROGRAM ACCESSIBILITY,Design,Complete,12/18/2018,6/6/2019,5/17/2019,620085,494184,475291,"DSF0000861172, DSF0000889384",620085.0,494184.0,475291.0,2018-12-18,2019-06-06,2019-05-17,0.7969617068627688,-20,170,2018,0,9,Bronx,5.792451225789749,0,0,0,0,1
9,X028,P.S. 28 - BRONX,SCA CIP,DETERIORATED METAL ARCH CEILING & BEAMS / FULL PROGRAM ACCESSIBILITY,Scope,Complete,9/19/2017,12/11/2018,12/18/2018,155609,127597,127388,"DSF0000861172, DSF0000889384",155609.0,127597.0,127388.0,2017-09-19,2018-12-11,2018-12-18,0.8199847052548375,7,448,2017,0,9,Bronx,5.192034711788002,0,0,0,0,1
10,X034,X188 SPED - BRONX,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,4/1/2019,5/17/2019,5/16/2019,391002,311141,299281,"DSF0000883893, DSF0000883894, DSF0000883895, DSF0000883896",391002.0,311141.0,299281.0,2019-04-01,2019-05-17,2019-05-16,0.7957529629004455,-1,46,2019,0,10,Bronx,5.592178978845336,0,0,1,0,0
10,X034,X188 SPED - BRONX,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,10/16/2018,3/6/2019,4/1/2019,101556,72356,72356,"DSF0000883893, DSF0000883894, DSF0000883895, DSF0000883896",101556.0,72356.0,72356.0,2018-10-16,2019-03-06,2019-04-01,0.7124739060222931,26,141,2018,0,10,Bronx,5.006705586922654,0,0,1,0,0
8,X036,P.S. 36 - BRONX,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Design,Complete,3/13/2019,8/12/2019,6/29/2020,48000,44617,40701,DSF0000890949,48000.0,44617.0,40701.0,2019-03-13,2019-08-12,2020-06-29,0.9295208333333334,322,152,2019,1,8,Bronx,4.681241237375588,0,0,0,0,0
10,X037,P.S. 37 - BRONX,SCA CIP,PA SYSTEM REPLACEMENT,Scope,Complete,5/4/2020,1/29/2021,7/9/2020,15420,3900,3900,DSF0000952532,15420.0,3900.0,3900.0,2020-05-04,2021-01-29,2020-07-09,0.2529182879377432,-204,270,2020,0,10,Bronx,4.188084373714938,0,0,0,0,0
8,X039,LONGWOOD PREPARATORY ACADEMY,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,1/26/2018,7/23/2018,7/11/2018,19624,18546,18546,DSF0000868101,19624.0,18546.0,18546.0,2018-01-26,2018-07-23,2018-07-11,0.945067264573991,-12,178,2018,0,8,Bronx,4.292787535198329,0,0,0,0,0
8,X039,LONGWOOD PREPARATORY ACADEMY,SCA CIP,FLOOD ELIMINATION,Design,Complete,8/1/2018,1/4/2019,4/23/2019,94776,66790,62105,DSF0000864950,94776.0,66790.0,62105.0,2018-08-01,2019-01-04,2019-04-23,0.7047142736557779,109,156,2018,1,8,Bronx,4.976698375448151,0,0,0,0,0
8,X039,LONGWOOD PREPARATORY ACADEMY,SCA CIP,FLOOD ELIMINATION,Scope,Complete,9/21/2017,2/9/2018,12/19/2017,23694,27505,27442,DSF0000864950,23694.0,27505.0,27442.0,2017-09-21,2018-02-09,2017-12-19,1.1608424073605133,-52,141,2017,1,8,Bronx,4.374638384120188,0,0,0,0,0
8,X039,HOLCOMBE L. RUCKER SCHOOLOF COMMUNITY RESEARCH - BRONX,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Scope,Complete,4/19/2018,9/19/2018,6/11/2018,119488,13349,13349,"DSF0000798350, DSF0000798348",119488.0,13349.0,13349.0,2018-04-19,2018-09-19,2018-06-11,0.11171833154793787,-100,153,2018,0,8,Bronx,5.077324291932966,0,1,0,0,0
8,X039,HOLCOMBE L. RUCKER SCHOOLOF COMMUNITY RESEARCH - BRONX,SCA CIP RESOA,FY16 RESO A AUDITORIUM UPGRADE,Design,Complete,9/15/2016,3/9/2017,3/8/2017,35015,245982,244352,DSF0000822346,35015.0,245982.0,244352.0,2016-09-15,2017-03-09,2017-03-08,7.025046408681994,-1,175,2016,1,8,Bronx,4.544254130684011,0,0,0,0,0
7,X040,YOUNG LEADERS ELEM - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,Complete,3/30/2018,8/14/2018,5/21/2018,31305,44409,43928,DSF0000867347,31305.0,44409.0,43928.0,2018-03-30,2018-08-14,2018-05-21,1.4185912793483468,-85,137,2018,1,7,Bronx,4.495613708121136,0,0,0,0,0
11,X041,P.S. 41 - BRONX,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,4/9/2019,9/9/2019,5/16/2019,564541,459092,19687,"DSF0000883981, DSF0000883984, DSF0000883985, DSF0000883986, DSF0000906844",564541.0,459092.0,19687.0,2019-04-09,2019-09-09,2019-05-16,0.8132128578792328,-116,153,2019,0,11,Bronx,5.751695488204576,0,0,1,0,0
11,X041,P.S. 41 - BRONX,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,10/24/2018,3/14/2019,4/9/2019,142813,112577,3370,"DSF0000883981, DSF0000883984, DSF0000883985, DSF0000883986, DSF0000906844",142813.0,112577.0,3370.0,2018-10-24,2019-03-14,2019-04-09,0.788282579317009,26,141,2018,0,11,Bronx,5.154767742253127,0,0,1,0,0
11,X041,P.S. 41 - BRONX,SCA CIP RESOA,FY20 RESO A IPDVS CAMERA INSTALLATION,Design,Complete,1/29/2020,7/23/2020,5/6/2020,30000,21459,21459,DSF0000913483,30000.0,21459.0,21459.0,2020-01-29,2020-07-23,2020-05-06,0.7153,-78,176,2020,0,11,Bronx,4.477121254719663,0,0,0,0,0
7,X043,P.S. 43 - BRONX,SCA CIP,WATER PENETRATION / BOILER REPLACEMENT / REINFORCING SUPPORT ELEMENTS / EXTERIOR MASONRY / CLIMATE CONTROL / DOMESTIC PIPING,Design,Complete,4/26/2017,9/26/2017,4/20/2018,1318825,1016624,833278,"DSF0000817455, DSF0000839445, DSF0000861382, DSF0000861385, DSF0000861379, DSF0000861387",1318825.0,1016624.0,833278.0,2017-04-26,2017-09-26,2018-04-20,0.7708558754952325,206,153,2017,1,7,Bronx,6.120187171151688,0,1,1,0,0
7,X043,P.S. 43 - BRONX,SCA CIP,WATER PENETRATION / BOILER REPLACEMENT / REINFORCING SUPPORT ELEMENTS / EXTERIOR MASONRY / CLIMATE CONTROL / DOMESTIC PIPING,Scope,Complete,10/27/2015,2/16/2017,2/27/2017,331508,463042,446906,"DSF0000817455, DSF0000839445, DSF0000861382, DSF0000861385, DSF0000861379, DSF0000861387",331508.0,463042.0,446906.0,2015-10-27,2017-02-16,2017-02-27,1.39677473846785,11,478,2015,1,7,Bronx,5.520494013325809,0,1,1,0,0
10,X045,I.S. 45 - BRONX,SCA CIP,PATH OF TRAVEL GYMNASIUM FLOOR,Design,Complete,1/22/2020,5/6/2020,6/30/2020,13884,3664,3664,DSF0000960515,13884.0,3664.0,3664.0,2020-01-22,2020-05-06,2020-06-30,0.26390089311437626,55,105,2020,0,10,Bronx,4.142514604999374,0,0,0,0,1
10,X045,I.S. 45 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,2/20/2019,7/22/2019,4/24/2019,39600,11628,11628,DSF0000868247,39600.0,11628.0,11628.0,2019-02-20,2019-07-22,2019-04-24,0.29363636363636364,-89,152,2019,0,10,Bronx,4.597695185925512,1,0,0,0,0
10,X045,I.S. 45 - BRONX,SCA CIP,GYMNASIUM FLOOR / GYM ROOF,Design,Complete,12/2/2019,4/17/2020,6/30/2020,58277,32005,18765,"DSF0000906920, DSF0000952638",58277.0,32005.0,18765.0,2019-12-02,2020-04-17,2020-06-30,0.5491875010724643,74,137,2019,0,10,Bronx,4.765497186938374,0,0,1,0,0
10,X045,I.S. 45 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,1/22/2019,5/22/2019,2/20/2019,10800,2887,2887,DSF0000868247,10800.0,2887.0,2887.0,2019-01-22,2019-05-22,2019-02-20,0.26731481481481484,-91,120,2019,0,10,Bronx,4.033423755486949,1,0,0,0,0
10,X045,I.S. 45 - BRONX,SCA CIP,GYMNASIUM FLOOR / GYM ROOF,Scope,Complete,2/21/2019,6/21/2019,9/26/2019,12950,10160,1334,"DSF0000906920, DSF0000952638",12950.0,10160.0,1334.0,2019-02-21,2019-06-21,2019-09-26,0.7845559845559845,97,120,2019,1,10,Bronx,4.112269768417271,0,0,1,0,0
10,X046,P.S. 46 - BRONX,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,Design,Complete,7/13/2015,12/14/2015,6/28/2016,582183,327140,317603,"DSF0000794346, DSF0000794342, DSF0000794345, DSF0000794344",582183.0,327140.0,317603.0,2015-07-13,2015-12-14,2016-06-28,0.5619195338922641,197,154,2015,1,10,Bronx,5.765059519697803,0,0,1,0,0
10,X046,P.S. 46 - BRONX,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,Scope,Complete,8/4/2014,12/19/2014,12/19/2014,148872,232280,232280,"DSF0000794346, DSF0000794342, DSF0000794345, DSF0000794344",148872.0,232280.0,232280.0,2014-08-04,2014-12-19,2014-12-19,1.5602665376968134,0,137,2014,1,10,Bronx,5.172813022876572,0,0,1,0,0
12,X047,P.S. 47 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,10/4/2019,3/26/2020,6/30/2020,68074,49061,43580,"DSF0000912345, DSF0000906948",68074.0,49061.0,43580.0,2019-10-04,2020-03-26,2020-06-30,0.7207010018509269,96,174,2019,1,12,Bronx,4.832981270317962,1,0,0,0,1
12,X047,P.S. 47 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,4/17/2019,8/30/2019,8/30/2019,13615,14795,14795,"DSF0000912345, DSF0000906948",13615.0,14795.0,14795.0,2019-04-17,2019-08-30,2019-08-30,1.08666911494675,0,135,2019,0,12,Bronx,4.134017645675983,1,0,0,0,1
8,X048,P.S. 48 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,8/15/2019,1/21/2020,1/8/2020,19931,6958,6958,DSF0000911981,19931.0,6958.0,6958.0,2019-08-15,2020-01-21,2020-01-08,0.3491044102152426,-13,159,2019,0,8,Bronx,4.299529089146387,1,0,0,0,0
12,X050,SAMARA COMMUNITY SCHOOL,SCA CIP,PLAYGROUND ASPHALTIC CONCRETE,Design,Complete,3/6/2019,7/19/2019,10/9/2019,44482,35326,34551,DSF0000888826,44482.0,35326.0,34551.0,2019-03-06,2019-07-19,2019-10-09,0.7941639314779012,82,135,2019,0,12,Bronx,4.648184305764576,0,0,0,0,0
8,X052,I.S. 302 - BRONX,SCA CIP,FLOOD ELIMINATION,Design,Complete,11/16/2018,4/22/2019,5/15/2019,137340,165951,144601,DSF0000861535,137340.0,165951.0,144601.0,2018-11-16,2019-04-22,2019-05-15,1.2083224115334208,23,157,2018,1,8,Bronx,5.137797043058186,0,0,0,0,0
8,X052,I.S. 302 - BRONX,SCA CIP,REPLACE PUBLIC ADDRESS & SYNCHRONIZED CLOCK SYSTEM,Design,Complete,6/26/2019,11/27/2019,11/20/2019,53210,30177,30177,DSF0000907014,53210.0,30177.0,30177.0,2019-06-26,2019-11-27,2019-11-20,0.5671302386769405,-7,154,2019,0,8,Bronx,4.725993258924722,0,0,0,0,0
8,X052,I.S. 302 - BRONX,SCA CIP,REPLACE PUBLIC ADDRESS & SYNCHRONIZED CLOCK SYSTEM,Scope,Complete,3/19/2019,6/17/2019,6/12/2019,10642,7544,7544,DSF0000907014,10642.0,7544.0,7544.0,2019-03-19,2019-06-17,2019-06-12,0.7088893065213305,-5,90,2019,0,8,Bronx,4.027023254588704,0,0,0,0,0
8,X052,I.S. 302 - BRONX,SCA CIP,FLOOD ELIMINATION,Scope,Complete,9/26/2017,2/14/2018,9/12/2018,34335,86276,86276,DSF0000861535,34335.0,86276.0,86276.0,2017-09-26,2018-02-14,2018-09-12,2.51277122469783,210,141,2017,1,8,Bronx,4.535737051730224,0,0,0,0,0
8,X052,I.S. 302 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,Complete,6/1/2018,10/17/2018,4/26/2019,54070,66518,64854,DSF0000867333,54070.0,66518.0,64854.0,2018-06-01,2018-10-17,2019-04-26,1.230220085074903,191,138,2018,1,8,Bronx,4.732956369575625,0,0,0,0,0
8,X052,I.S. 302 - BRONX,SCA CIP RESOA,FY20 RESO A IPDVS CAMERA INSTALLATION,Design,Complete,2/5/2020,7/30/2020,5/14/2020,27000,28222,28222,DSF0000913488,27000.0,28222.0,28222.0,2020-02-05,2020-07-30,2020-05-14,1.0452592592592593,-77,176,2020,0,8,Bronx,4.431363764158987,0,0,0,0,0
9,X053,P.S. 53 - BRONX,SCA CIP,EXTERIOR MASONRY / PARAPETS,Design,Complete,2/21/2018,7/23/2018,8/31/2018,451440,382544,381730,"DSF0000884191, DSF0000884190",451440.0,382544.0,381730.0,2018-02-21,2018-07-23,2018-08-31,0.8473861421229842,39,152,2018,0,9,Bronx,5.654600037261985,0,0,1,0,0
9,X053,P.S. 53 - BRONX,SCA CIP,EXTERIOR MASONRY / PARAPETS,Scope,Complete,10/26/2017,3/16/2018,2/8/2018,112860,158345,155775,"DSF0000884191, DSF0000884190",112860.0,158345.0,155775.0,2017-10-26,2018-03-16,2018-02-08,1.4030214424951266,-36,141,2017,1,9,Bronx,5.052540045934022,0,0,1,0,0
10,X054,P.S. 54 - BRONX,SCA CIP RESOA,FY18 RESO A AUDITORIUM UPGRADE,"CM,F&E",Complete,6/24/2019,3/23/2020,9/15/2020,48000,51779,25936,DSF0000866341,48000.0,51779.0,25936.0,2019-06-24,2020-03-23,2020-09-15,1.0787291666666667,176,273,2019,1,10,Bronx,4.681241237375588,0,0,0,0,0
10,X054,P.S. 54 - BRONX,SCA CIP RESOA,FY18 RESO A AUDITORIUM UPGRADE,Construction,Complete,6/24/2019,3/23/2020,9/15/2020,704000,516549,437303,DSF0000866341,704000.0,516549.0,437303.0,2019-06-24,2020-03-23,2020-09-15,0.733734375,176,273,2019,1,10,Bronx,5.847572659142112,0,0,0,0,0
10,X054,P.S. 54 - BRONX,SCA CIP RESOA,FY18 RESO A AUDITORIUM UPGRADE,Design,Complete,6/27/2018,11/29/2018,4/11/2019,48000,70760,63709,DSF0000866341,48000.0,70760.0,63709.0,2018-06-27,2018-11-29,2019-04-11,1.4741666666666666,133,155,2018,1,10,Bronx,4.681241237375588,0,0,0,0,0
10,X054,P.S. 54 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,Complete,2/28/2018,7/13/2018,5/18/2018,31425,24530,22198,DSF0000867351,31425.0,24530.0,22198.0,2018-02-28,2018-07-13,2018-05-18,0.7805887032617342,-56,135,2018,0,10,Bronx,4.497275286357995,0,0,0,0,0
9,X055,P.S. 55 - BRONX,SCA CIP,MASONRY / WINDOWS / ROOFS / PARAPETS,Design,Complete,12/8/2015,7/29/2016,6/29/2016,949289,638597,621005,"DSF0000839646, DSF0000839645, DSF0000839643, DSF0000839644",949289.0,638597.0,621005.0,2015-12-08,2016-07-29,2016-06-29,0.6727108393755747,-30,234,2015,0,9,Bronx,5.977398448463259,0,0,1,0,0
9,X055,P.S. 55 - BRONX,SCA CIP,MASONRY / WINDOWS / ROOFS / PARAPETS,Scope,Complete,5/18/2015,11/19/2015,10/23/2015,237322,183724,183376,"DSF0000839646, DSF0000839645, DSF0000839643, DSF0000839644",237322.0,183724.0,183376.0,2015-05-18,2015-11-19,2015-10-23,0.7741549456013349,-27,185,2015,0,9,Bronx,5.375337999640571,0,0,1,0,0
12,X057,P.S. 57 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,8/9/2019,1/14/2020,1/14/2020,20571,12751,12751,DSF0000912123,20571.0,12751.0,12751.0,2019-08-09,2020-01-14,2020-01-14,0.6198531913859316,0,158,2019,0,12,Bronx,4.313255404185037,1,0,0,0,0
9,X058,P.S. 58 - BRONX,SCA CIP,FLOOD ELIMINATION / FULL PROGRAM ACCESSIBILITY / EXTERIOR MASONRY / WINDOWS / ROOFS / PARAPETS,Design,Complete,1/3/2019,6/20/2019,5/17/2019,1120106,452610,310330,"DSF0000861625, DSF0000889385, DSF0000884273, DSF0000912156, DSF0000912157, DSF0000907120",1120106.0,452610.0,310330.0,2019-01-03,2019-06-20,2019-05-17,0.40407782834838846,-34,168,2019,0,9,Bronx,6.049259123595866,0,0,1,0,1
9,X058,P.S. 58 - BRONX,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,6/20/2019,11/21/2019,10/30/2019,20311,24244,24244,"DSF0000912124, DSF0000912606",20311.0,24244.0,24244.0,2019-06-20,2019-11-21,2019-10-30,1.1936389148737137,-22,154,2019,1,9,Bronx,4.307731306161607,1,0,0,0,0
9,X058,P.S. 58 - BRONX,SCA CIP,FLOOD ELIMINATION / FULL PROGRAM ACCESSIBILITY / EXTERIOR MASONRY / WINDOWS / ROOFS / PARAPETS,Scope,Complete,11/28/2017,12/11/2018,12/12/2018,283697,210755,208636,"DSF0000861625, DSF0000889385, DSF0000884273, DSF0000912156, DSF0000912157, DSF0000907120",283697.0,210755.0,208636.0,2017-11-28,2018-12-11,2018-12-12,0.7428876583115084,1,378,2017,0,9,Bronx,5.452854743302605,0,0,1,0,1
8,X060,THE LONGWOOD ACADEMY OF DISCOVERY - X,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,Complete,5/31/2019,10/16/2019,1/3/2020,18750,26541,26541,DSF0000867334,18750.0,26541.0,26541.0,2019-05-31,2019-10-16,2020-01-03,1.41552,79,138,2019,1,8,Bronx,4.273001272063738,0,0,0,0,0
