Project Type,Project Phase Name,borough,log_orcamento,duracao_plan,ano_inicio,esc_eletrica,esc_hvac,esc_estrutural,esc_seguranca,esc_acessibilidade,fator_custo,atraso_dias,alto_risco,DSF Number(s)
SCA CIP,Scope,Brooklyn,4.543981176766847,29,2018,0,0,0,0,0,0.8844340296630755,-28,0,DSF0000798193
SCA CIP,Scope,Brooklyn,4.804582364022804,154,2017,0,1,0,0,0,1.3152042656629812,-4,1,DSF0000799391
SCA CIP,Design,Brooklyn,4.492494983343012,152,2019,1,0,0,0,0,0.2483832566519739,-35,0,"DSF0000911955, DSF0000912426"
SCA CIP,Scope,Brooklyn,4.324837832312843,136,2019,1,0,0,0,1,0.7960903109764756,45,0,"DSF0000912354, DSF0000937704"
SCA CIP,Design,Brooklyn,4.024854948305018,151,2019,1,0,0,0,0,0.6591746151666824,19,0,DSF0000911997
SCA CIP,Scope,Brooklyn,4.854785626751449,156,2020,0,1,0,0,0,0.7341538719456824,-15,0,"DSF0000937725, DSF0000961107"
SCA CIP,Scope,Brooklyn,5.1046748552897325,186,2020,0,0,1,0,0,2.099280971278142,-31,1,"DSF0000937728, DSF0000937730, DSF0000937731, DSF0000937732"
SCA CIP RESOA,Design,Brooklyn,4.556302500767287,165,2020,0,0,0,0,0,0.3947222222222222,-106,0,DSF0000913216
SCA CIP RESOA,Design,Brooklyn,4.445604203273597,154,2019,0,0,0,0,0,1.4616487455197134,127,1,DSF0000890750
SCA CIP,Design,Brooklyn,5.590243125373719,158,2016,0,1,0,0,0,0.4391503944633834,39,0,"DSF0000798257, DSF0000798260"
SCA CIP,Design,Brooklyn,5.8448789762712385,154,2014,0,0,1,0,0,0.9005083992356145,55,0,"DSF0000712695, DSF0000802628, DSF0000802631, DSF0000802630"
SCA CIP,Scope,Brooklyn,4.988184249728274,159,2016,0,1,0,0,0,0.8229170948251059,-133,0,"DSF0000798257, DSF0000798260"
SCA CIP,Scope,Brooklyn,5.251226844906684,140,2011,0,0,1,0,0,1.0941171192894112,256,1,"DSF0000712695, DSF0000802628, DSF0000802631, DSF0000802630"
SCA CIP,Design,Brooklyn,5.75823419743513,153,2020,0,0,1,0,0,0.5453817363310388,21,0,"DSF0000892622, DSF0000892623, DSF0000892624, DSF0000892625, DSF0000937911"
SCA CIP,Scope,Brooklyn,5.064443013296922,136,2019,0,0,1,0,0,1.4546536087451292,60,1,"DSF0000892622, DSF0000892623, DSF0000892624, DSF0000892625, DSF0000937911"
SCA CIP,"CM,F&E",Brooklyn,5.2540257397030805,299,2018,0,0,0,0,0,0.9548316284459896,300,1,DSF0000867031
SCA CIP,Construction,Brooklyn,5.433542629691579,299,2018,0,0,0,0,0,1.004293221500748,300,1,DSF0000867031
SCA CIP,Design,Brooklyn,4.408613026855303,181,2017,0,0,0,0,0,0.5423073920849271,-29,0,DSF0000867031
SCA CIP,Design,Brooklyn,4.375114684692225,156,2019,1,0,0,0,0,0.2937183811129848,-7,0,"DSF0000912678, DSF0000914264"
SCA CIP RESOA,Design,Brooklyn,4.3222192947339195,154,2018,0,0,0,0,0,1.4851904761904762,135,1,DSF0000866375
SCA CIP,Design,Brooklyn,5.544275215439039,153,2017,0,0,1,0,0,0.758518078516822,69,0,"DSF0000847313, DSF0000866261, DSF0000847312"
SCA CIP,Scope,Brooklyn,4.951104277929998,135,2017,0,0,1,0,0,0.5912458590742233,-70,0,"DSF0000847313, DSF0000866261, DSF0000847312"
SCA CIP,Design,Brooklyn,4.804630037425446,154,2019,1,0,0,0,0,0.12699931004202472,-65,0,DSF0000911957
SCA CIP,Scope,Brooklyn,4.1514311436611395,122,2019,1,0,0,0,0,0.14288738357324302,-92,0,DSF0000911957
SCA CIP RESOA,"CM,F&E",Brooklyn,4.433369746856586,149,2018,0,0,0,0,0,1.433032258064516,680,1,DSF0000822899
SCA CIP RESOA,Construction,Brooklyn,5.599696438117025,149,2018,0,0,0,0,0,0.8587458430632257,680,1,DSF0000822899
SCA CIP RESOA,Design,Brooklyn,4.433369746856586,89,2017,0,0,0,0,0,1.8660276497695854,-13,1,DSF0000822899
SCA Capacity,Design,Brooklyn,6.650427787590177,223,2017,0,0,0,0,0,0.8295033724440524,4,0,DSF0000798189
SCA Capacity,Scope,Brooklyn,6.145277848122549,153,2017,0,0,0,0,0,0.7398454978379144,-7,0,DSF0000798189
SCA CIP,Design,Brooklyn,5.565338876771067,197,2017,0,1,0,0,0,0.8724783646063732,-22,0,"DSF0000798424, DSF0000779662"
SCA CIP,Design,Brooklyn,5.4113048124972885,153,2017,0,0,1,0,0,0.7642748814062906,725,1,"DSF0000802991, DSF0000825427, DSF0000870064"
SCA CIP,Design,Brooklyn,4.677387925491221,174,2017,0,0,0,0,0,1.2239154195392634,-23,1,DSF0000798189
SCA CIP,Scope,Brooklyn,4.827647080948005,139,2015,0,0,1,0,0,1.632571420073465,37,1,"DSF0000802991, DSF0000825427, DSF0000870064"
SCA CIP,Scope,Brooklyn,4.113107366520495,0,2017,0,0,0,0,0,1.3827360308285164,0,1,DSF0000798189
SCA CIP,Scope,Brooklyn,4.963277703909644,157,2017,0,1,0,0,0,1.118835154311583,-89,1,"DSF0000798424, DSF0000779662"
SCA CIP,Design,Brooklyn,5.908791061822067,152,2015,0,0,1,0,0,0.9415153021758735,40,0,"DSF0000779700, DSF0000803027, DSF0000803030, DSF0000803029"
SCA CIP,Scope,Brooklyn,5.310633844969006,138,2014,0,0,1,0,0,0.8682068938534372,15,0,"DSF0000779700, DSF0000803027, DSF0000803030, DSF0000803029"
SCA CIP,Design,Brooklyn,5.946663465491349,156,2018,0,0,1,0,0,0.4230046470608188,83,0,"DSF0000847464, DSF0000892915, DSF0000870150, DSF0000890997"
SCA CIP,Scope,Brooklyn,5.349238662688127,142,2017,0,0,1,0,0,0.7832110255951316,126,1,"DSF0000847464, DSF0000892915, DSF0000870150, DSF0000890997"
SCA CIP,Design,Brooklyn,5.110468494924623,153,2015,1,0,0,0,0,1.522238764306318,56,1,"DSF0000779760, DSF0000868315, DSF0000912282"
SCA CIP,Design,Brooklyn,5.98113878264066,152,2018,0,0,1,0,0,0.6735519582245431,189,1,"DSF0000847483, DSF0000889027, DSF0000870169, DSF0000870171"
SCA CIP,Scope,Brooklyn,5.379076977023867,138,2017,0,0,1,0,0,0.8102341941898452,44,0,"DSF0000847483, DSF0000889027, DSF0000870169, DSF0000870171"
SCA CIP,Scope,Brooklyn,4.510370721280114,123,2014,1,0,0,0,0,0.8646987989007935,-47,0,"DSF0000779760, DSF0000868315, DSF0000912282"
SCA CIP,Design,Brooklyn,5.495888306827443,159,2019,0,0,1,0,0,0.7598995045459189,85,0,"DSF0000870205, DSF0000870207, DSF0000870208, DSF0000960499"
SCA CIP,Scope,Brooklyn,4.807230509312492,139,2018,0,0,1,0,0,1.7510872106616788,131,1,"DSF0000870205, DSF0000870207, DSF0000870208, DSF0000960499"
SCA CIP,Design,Brooklyn,4.553494656859975,153,2020,1,0,0,0,0,0.1591925743681503,-139,0,"DSF0000912679, DSF0000960707"
SCA CIP,Design,Brooklyn,5.373537231192786,153,2017,0,0,1,0,0,1.2063298637556064,-8,1,DSF0000866757
SCA CIP,Scope,Brooklyn,4.771477239864823,136,2016,0,0,1,0,0,0.9552339849369552,47,0,DSF0000866757
SCA CIP,Design,Brooklyn,4.244277120801843,154,2019,1,0,0,0,0,0.5867236467236467,-70,0,DSF0000912050
SCA CIP,Design,Brooklyn,5.592122328334094,153,2019,0,0,1,0,0,0.6631316968111093,-62,0,"DSF0000847584, DSF0000870269, DSF0000870270, DSF0000870268"
SCA CIP,Scope,Brooklyn,4.994563491009709,141,2017,0,0,1,0,0,1.110079387581514,338,1,"DSF0000847584, DSF0000870269, DSF0000870270, DSF0000870268"
SCA CIP,Design,Brooklyn,5.675778341674085,402,2018,0,0,1,0,0,1.198632911392405,38,1,"DSF0000779877, DSF0000870289"
SCA CIP,Design,Brooklyn,4.1126050015345745,154,2019,1,0,0,0,0,0.8318672839506173,-64,0,DSF0000912051
SCA CIP,Scope,Brooklyn,5.073718350346122,553,2016,0,0,1,0,0,2.9239662447257384,-59,1,"DSF0000779877, DSF0000870289"
SCA CIP,"CM,F&E",Brooklyn,4.646295874473406,209,2020,1,0,0,0,0,0.6032874980243401,119,1,DSF0000912052
SCA CIP,Construction,Brooklyn,5.378314304843788,209,2020,1,0,0,0,0,1.061384199469354,119,1,DSF0000912052
SCA CIP,Design,Brooklyn,4.2681097298084785,153,2019,1,0,0,0,0,0.7687702265372168,-36,0,DSF0000912052
SCA CIP,Design,Brooklyn,5.914482257190157,150,2020,0,0,1,0,0,0.5261006522880003,-71,0,"DSF0000893128, DSF0000938418, DSF0000960896, DSF0000938410, DSF0000960897"
SCA CIP,Scope,Brooklyn,5.220356558971001,140,2019,0,0,1,0,0,1.4128601101779101,-27,1,"DSF0000893128, DSF0000938418, DSF0000960896, DSF0000938410, DSF0000960897"
